 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000      
    1.000000000000000     
 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000      
    1.000000000000000     
 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000      
    1.000000000000000     
 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000      
    1.000000000000000     
 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000      
    1.000000000000000     
 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000      
    1.000000000000000     
 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000      
    1.000000000000000     
 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000      
    1.000000000000000     
 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000      
    1.000000000000000     
 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000      
    1.000000000000000     
 #Kpoint 
    0.000000000000000         0.000000000000000         0.000000000000000      
    1.000000000000000     
            1  -0.9006964295903427     
            1            1  (-0.2386398463636543,0.000000000000000)
            1            2  (1.0757240094503055E-004,0.000000000000000)
            1            3  (-5.3708561449254494E-005,0.000000000000000)
            1            4  (-6.2469571731058146E-002,0.000000000000000)
            2            1  (-0.2379770042093011,0.000000000000000)
            2            2  (5.4072451263500285E-002,0.000000000000000)
            2            3  (-7.6606925306440130E-005,0.000000000000000)
            2            4  (-3.0891145376016636E-002,0.000000000000000)
            3            1  (-0.2379393481648682,0.000000000000000)
            3            2  (5.4086765461958605E-002,0.000000000000000)
            3            3  (-6.6974772563503337E-005,0.000000000000000)
            3            4  (3.0894539116827519E-002,0.000000000000000)
            4            1  (-0.2385734124000360,0.000000000000000)
            4            2  (7.9536190339866161E-005,0.000000000000000)
            4            3  (-6.5924387514665635E-005,0.000000000000000)
            4            4  (6.2484666324584659E-002,0.000000000000000)
            5            1  (-0.2381227534414743,0.000000000000000)
            5            2  (-5.4262934615512640E-002,0.000000000000000)
            5            3  (-6.7561276612823602E-005,0.000000000000000)
            5            4  (3.1026703263207233E-002,0.000000000000000)
            6            1  (-0.2381928632480606,0.000000000000000)
            6            2  (-5.4210505180318128E-002,0.000000000000000)
            6            3  (-5.1273049654656914E-005,0.000000000000000)
            6            4  (-3.1053012522874263E-002,0.000000000000000)
            7            1  (-1.9503174854570676E-002,0.000000000000000)
            8            1  (-1.9393753674755196E-002,0.000000000000000)
            9            1  (-1.9394560211971636E-002,0.000000000000000)
           10            1  (-1.9480500348869990E-002,0.000000000000000)
           11            1  (-1.9479297440551269E-002,0.000000000000000)
           12            1  (-1.9518598008590505E-002,0.000000000000000)
            2  -0.7994088446759182     
            1            1  (-0.3839607223323823,0.000000000000000)
            1            2  (1.2168589965814831E-003,0.000000000000000)
            1            3  (-1.2780701407443906E-004,0.000000000000000)
            1            4  (-6.9719344330274047E-002,0.000000000000000)
            2            1  (-0.1890570286706796,0.000000000000000)
            2            2  (9.0952321393572705E-002,0.000000000000000)
            2            3  (-7.9846923856260218E-005,0.000000000000000)
            2            4  (8.8516053500876379E-002,0.000000000000000)
            3            1  (0.1942245295441821,0.000000000000000)
            3            2  (-9.1238119022589409E-002,0.000000000000000)
            3            3  (7.2903719377168542E-005,0.000000000000000)
            3            4  (8.7232167779827757E-002,0.000000000000000)
            4            1  (0.3839120221558115,0.000000000000000)
            4            2  (9.7040442834268035E-004,0.000000000000000)
            4            3  (1.4688522992276423E-004,0.000000000000000)
            4            4  (-6.9717398701728897E-002,0.000000000000000)
            5            1  (0.1891985519226758,0.000000000000000)
            5            2  (9.0994340428639089E-002,0.000000000000000)
            5            3  (5.4036017083203954E-005,0.000000000000000)
            5            4  (8.8634560622542144E-002,0.000000000000000)
            6            1  (-0.1942041064663270,0.000000000000000)
            6            2  (-9.1288390500545158E-002,0.000000000000000)
            6            3  (-5.3719348238961510E-005,0.000000000000000)
            6            4  (8.7078279966585639E-002,0.000000000000000)
            7            1  (-4.3962344493999571E-002,0.000000000000000)
            8            1  (-2.1579108288700202E-002,0.000000000000000)
            9            1  (2.2172466412665241E-002,0.000000000000000)
           10            1  (2.1619502974365157E-002,0.000000000000000)
           11            1  (-2.2202191594219125E-002,0.000000000000000)
           12            1  (4.3956865230800911E-002,0.000000000000000)
            3  -0.7987548827841623     
            1            1  (3.1479639855059981E-003,0.000000000000000)
            1            2  (0.1403788481921386,0.000000000000000)
            1            3  (5.6477965345328293E-006,0.000000000000000)
            1            4  (6.0665170269482674E-004,0.000000000000000)
            2            1  (0.3342620640875167,0.000000000000000)
            2            2  (-1.7750831311828967E-002,0.000000000000000)
            2            3  (1.4099649302099076E-004,0.000000000000000)
            2            4  (9.0126195081196805E-002,0.000000000000000)
            3            1  (0.3312117537524529,0.000000000000000)
            3            2  (-1.6402888252251124E-002,0.000000000000000)
            3            3  (1.3189798448763303E-004,0.000000000000000)
            3            4  (-9.1510044791846643E-002,0.000000000000000)
            4            1  (-2.7317073591593059E-003,0.000000000000000)
            4            2  (0.1404064209353286,0.000000000000000)
            4            3  (1.1216212351868971E-005,0.000000000000000)
